,MANDT,BUKRS,BELNR,BLDAT,BUDAT,AEDAT,USNAM,TCODE,XBLNR,STBLG,CPUDT,STJAH,BSTAT,WAERS,AWTYP,AWKEY,HWAER,XREVERSAL,CPUTM,GJAHR,BLART,AUGDT,AUGCP,BSCHL,KOART,AUGBL,BUZEI,SHKZG,WRBTR,DMBTR,ZUONR,SGTXT,VBUND,LIFNR,ZFBDT,ZTERM,ZBD1T,ZBD3T,ZBD2T,ZBD2P,ZBD1P,SKNTO,SKFBT,ZLSPR,FDWBT,ZLSCH,REBZJ,REBZZ,REBZT,REBZG,MATNR,NAME1,ID,unique_id
2529,10,212,1320416304,2019-02-27,2019-03-05,2019-03-12,95347b81ed1a7e2f8819e3730e913cebb4a8947a,MIRO,201901400310,None,2019-03-05,0,None,EUR,RMRP,45531069446009,EUR,None,,2019,"RE
",2019-03-13,20190313,31,K,0671192901,1,H,852.16,852.16,201901400310,None,None,5562333,2019-02-27,Z004,14,0,0,0,0.0,0.0,852.16,None,-852.16,None,0,0,None,None,None,Dornseiff GmbH,010201906602081520106001,852.162122019-02-27201901400310
2620,10,212,1320416304,2019-02-27,2019-03-05,2019-03-12,95347b81ed1a7e2f8819e3730e913cebb4a8947a,MIRO,201901400310,None,2019-03-05,0,None,EUR,RMRP,45531069446009,EUR,None,,2019,"RE
",2019-03-13,20190313,31,K,671192901,1,H,852.16,852.16,201901400310,None,None,5562333,2019-02-27,Z004,14,0,0,0,0.0,0.0,852.16,None,-852.16,None,0,0,None,None,None,Dornseif GmbH,010201906602081520106001,852.162122019-02-27201901400310
1431,10,252,532045906,2019-08-16,2019-08-16,,2d244fd24252aa02fe43c876a09f66ff61c396a4,MIRO,20191710,None,2019-08-16,0,None,EUR,RMRP,22815056840504,EUR,None,2042-08-06,2019,"RE
",2019-08-29,20190829,31,K,0267111814,1,H,564.18,564.18,20191710,None,None,5351239,2019-08-16,Z310,14,0,30,0,3.0,16.93,564.1799999999997,None,-547.25,None,0,0,None,None,None,Jenaer Feinblech-GmbH,010201902660229530126001,564.182522019-08-1620191710
2950,10,252,532045906,2019-08-16,2019-08-16,,2d244fd24252aa02fe43c876a09f66ff61c396a4,MIRO,20191710,None,2019-08-16,0,None,EUR,RMRP,22815056840504,EUR,None,2042-08-06,2019,"RE
",2019-08-29,20190829,31,K,267111814,1,H,564.18,564.18,20191710,None,None,5351239,2019-08-16,Z310,14,0,30,0,3.0,16.93,564.1799999999997,None,-547.25,None,0,0,None,None,None,Jenaer Geinblech-GmbH,010201902660229530126001,564.182522019-08-1620191710
1192,10,252,532046540,2019-08-30,2019-09-04,,2d244fd24252aa02fe43c876a09f66ff61c396a4,MIRO,490525,None,2019-09-04,0,None,EUR,RMRP,22815057323004,EUR,None,2027-04-15,2019,"RE
",2019-10-29,20191029,31,K,267112352,1,H,5433.54,5433.54,490525,None,None,5350958,2019-08-30,Z009,60,0,0,0,0.0,0.0,5433.54,None,-5433.54,None,0,0,None,None,None,EPSA Mechatronik & Präzisionsbau GmbH,010201902660232700126001,5433.542522019-08-30490525
3716,10,252,532046540,2019-08-30,2019-09-04,,2d244fd24252aa02fe43c876a09f66ff61c396a4,MIRO,490525,None,2019-09-04,0,None,EUR,RMRP,22815057323004,EUR,None,2027-04-15,2019,"RE
",2019-10-29,20191029,31,K,0267112352,1,H,5433.54,5433.54,490525,None,None,5350958,2019-08-30,Z009,60,0,0,0,0.0,0.0,5433.54,None,-5433.54,None,0,0,None,None,None,EPSA Mechatronik & Präzisionsbau,010201902660232700126001,5433.542522019-08-30490525
2469,10,202,29134702,2019-01-30,2019-02-04,,2d244fd24252aa02fe43c876a09f66ff61c396a4,MIRO,65056479,None,2019-02-06,0,None,EUR,RMRP,22754280718004,EUR,None,2058-11-08,2019,"RE
",2019-02-28,20190228,31,K,171433821,1,H,18525.62,18525.62,65056479,None,None,5544012,2019-01-30,Z006,30,0,0,0,0.0,0.0,18525.62,None,-18525.62,None,0,0,None,None,None,EntServ Germany GmbH,010201900145673510101001,18525.622022019-01-3065056479
6178,10,202,29134702,2019-01-30,2019-02-04,,2d244fd24252aa02fe43c876a09f66ff61c396a4,MIRO,65056479,None,2019-02-06,0,None,EUR,RMRP,22754280718004,EUR,None,2058-11-08,2019,"RE
",2019-02-28,20190228,31,K,171433821,1,H,18525.62,18525.62,65056479,None,None,5544012,2019-01-30,Z006,30,0,0,0,0.0,0.0,18525.62,None,-18525.62,None,0,0,None,None,None,EntServ Deutschland GmbH,010201900145673510101001,18525.622022019-01-3065056479
5345,10,202,29134436,2018-12-31,2019-02-04,2019-03-26,1508e4a4782bcd0f08ac6cb4615b9afbe8d4698a,MIRO,1841113,None,2019-02-04,0,None,EUR,RMRP,45508559436009,EUR,None,,2019,"RE
",2019-03-27,20190327,31,K,171436178,1,H,19740.41,19740.41,1841113,None,None,5611820,2018-12-31,Z008,45,0,0,0,0.0,0.0,19740.41,None,-19740.41,None,0,0,None,None,None,tec2date GmbH,010201900145672180101001,19740.412022018-12-311841113
6580,10,202,29134436,2018-12-31,2019-02-04,2019-03-26,1508e4a4782bcd0f08ac6cb4615b9afbe8d4698a,MIRO,1841113,None,2019-02-04,0,None,EUR,RMRP,45508559436009,EUR,None,,2019,"RE
",2019-03-27,20190327,31,K,171436178,1,H,19740.41,19740.41,1841113,None,None,5611820,2018-12-31,Z008,45,0,0,0,0.0,0.0,19740.41,None,-19740.41,None,0,0,None,None,None,tec2dates GmbH,010201900145672180101001,19740.412022018-12-311841113
3547,10,202,29151746,2019-03-22,2019-03-31,2019-04-04,1508e4a4782bcd0f08ac6cb4615b9afbe8d4698a,MIRO,1400088349,None,2019-04-01,0,None,JPY,RMRP,30339064980673,EUR,None,,2019,"RE
",2019-04-18,20190418,31,K,171438629,1,H,255134.0,203651.02,1400088349,None,None,5623950,2019-03-22,Z006,30,0,0,0,0.0,0.0,255134.0,None,-255134.0,None,0,0,None,None,None,"Tamron Co., GmbH",010201900145758730101001,255134.02022019-03-221400088349
